alarm_id,device_id,start_timestamp,end_timestamp
13,32,1,16
10,21,16,35
10,13,71,118
15,13,72,77
8,28,85,110
7,28,97,100
15,13,99,118
13,28,99,106
16,7,149,191
5,7,150,163
15,7,163,191
1,26,201,226
10,26,221,226
15,26,222,222
19,14,233,235
12,11,250,278
21,28,257,263
6,1,264,304
15,8,276,437
20,1,300,303
18,24,317,353
11,14,330,357
7,23,331,342
3,24,338,353
2,16,345,361
9,16,348,361
14,14,349,357
8,13,359,366
19,2,370,382
12,1,383,386
10,9,397,484
5,9,402,403
15,9,429,484
4,27,447,465
5,9,466,484
6,14,527,599
20,14,531,565
8,22,606,727
13,22,610,622
15,22,613,619
7,22,650,720
2,22,667,720
0,14,681,736
9,22,712,720
19,17,715,782
7,14,728,736
20,14,730,736
11,24,733,772
18,27,750,822
8,32,760,765
3,27,769,805
20,30,772,852
1,27,776,819
18,23,784,823
7,27,792,822
2,23,800,806
11,27,801,803
9,23,803,806
7,9,806,812
3,30,818,850
3,24,837,842
16,1,883,935
12,14,901,944
15,1,919,935
7,12,942,945
10,28,961,998
15,28,997,998
4,19,1010,1041
20,19,1016,1033
15,19,1027,1041
20,29,1054,1055
3,2,1080,1107
17,29,1090,1165
16,25,1105,1166
21,29,1105,1151
10,29,1145,1151
15,25,1156,1166
14,15,1172,1199
9,15,1175,1199
6,10,1184,1254
8,15,1184,1199
5,14,1226,1227
0,19,1230,1341
20,10,1236,1244
20,19,1237,1240
7,19,1263,1341
1,16,1282,1316
5,29,1290,1304
20,16,1292,1316
10,16,1295,1316
6,19,1300,1323
8,19,1300,1317
15,16,1300,1316
21,1,1313,1352
13,1,1328,1351
10,1,1336,1338
7,16,1398,1405
12,31,1454,1470
12,17,1480,1502
21,17,1584,1614
8,17,1588,1602
13,17,1593,1593
2,30,1597,1607
8,17,1605,1614
13,17,1608,1613
0,24,1625,1643
7,24,1630,1643
17,4,1683,1695
7,10,1713,1717
10,7,1730,1782
5,7,1737,1771
