alarm_id,device_id,start_timestamp,end_timestamp
13,20,53,87
14,13,55,68
3,13,55,68
1,1,62,64
1,20,63,86
0,8,65,87
3,12,65,77
0,1,67,87
14,13,74,87
3,13,75,87
3,8,76,82
0,12,78,84
3,1,80,87
16,8,80,87
0,22,80,85
5,1,81,87
11,20,82,85
16,15,84,85
7,5,91,187
11,9,99,107
2,14,130,147
11,5,142,152
11,18,236,262
16,22,247,266
3,7,253,302
2,20,308,319
15,13,309,319
15,20,310,319
3,16,312,319
16,20,314,319
11,16,314,319
16,12,316,319
1,13,318,319
14,20,366,404
3,20,378,382
3,16,383,404
3,8,384,404
3,13,391,393
3,12,396,404
5,18,430,447
19,17,434,479
6,17,439,457
11,17,441,457
16,17,453,458
16,17,464,466
6,17,472,479
13,16,486,520
3,21,488,516
14,21,494,520
3,0,499,517
0,23,506,520
14,16,506,514
3,16,509,520
3,20,509,516
1,20,510,517
14,11,514,520
3,16,515,520
3,21,517,520
19,12,521,527
1,7,571,585
6,4,582,584
10,12,635,656
15,1,635,676
12,18,635,662
14,18,637,657
16,9,637,656
3,18,640,649
14,1,642,676
18,1,645,676
6,1,646,670
5,18,647,662
3,20,647,673
16,20,648,652
18,20,649,661
5,1,650,661
3,20,652,661
18,18,652,656
1,20,653,676
3,1,653,668
5,22,653,661
5,3,653,656
11,14,655,656
16,20,655,656
11,20,656,661
14,3,656,662
3,18,657,662
14,12,658,659
16,1,660,669
5,3,660,662
1,3,660,662
18,1,667,670
11,20,668,669
5,1,669,670
16,1,671,676
16,5,674,688
6,17,716,740
4,11,767,856
18,10,768,790
18,11,776,856
16,16,778,783
18,7,779,815
16,17,780,819
18,17,782,802
11,11,782,783
5,16,784,834
5,11,785,790
5,11,785,815
5,7,786,815
1,20,787,803
5,11,787,809
11,7,787,794
3,16,788,811
11,21,788,823
0,17,788,855
15,3,788,818
1,16,788,815
1,11,788,815
11,23,789,791
3,17,789,794
5,11,790,807
7,10,791,818
3,7,793,797
3,17,793,807
11,10,793,811
11,17,794,798
1,10,794,807
7,11,795,795
3,16,796,798
0,11,796,806
1,7,798,807
5,11,798,821
3,11,800,821
5,17,800,806
1,18,801,818
1,7,801,809
11,7,801,821
1,17,802,809
5,17,803,806
11,7,803,807
1,21,803,834
18,17,804,806
5,11,804,813
11,10,805,812
3,17,805,813
11,16,806,821
3,21,806,822
11,11,807,821
1,20,807,811
1,16,808,812
11,11,808,815
14,3,809,818
1,11,809,815
5,7,809,819
5,10,810,842
11,16,810,815
0,16,811,829
1,17,811,813
3,11,812,842
5,11,813,856
11,10,813,830
11,17,815,819
3,16,815,829
1,16,816,834
18,3,816,818
10,17,816,839
18,11,816,839
3,10,816,847
1,7,817,856
17,3,817,818
5,18,817,818
11,16,818,850
16,11,818,829
11,11,818,818
3,7,818,821
7,16,819,856
1,11,819,856
7,10,819,845
11,16,820,829
11,23,820,826
1,10,820,835
5,16,821,856
7,7,823,833
11,16,824,834
11,11,826,856
11,11,827,855
11,23,827,834
5,11,827,829
5,16,827,829
11,16,828,856
3,23,828,834
1,23,828,829
11,11,829,842
3,23,831,856
1,21,831,856
3,23,832,856
5,17,833,845
16,8,835,878
3,20,835,848
5,7,835,844
1,11,836,856
16,10,837,856
16,11,837,855
0,10,838,856
5,17,843,856
3,7,843,844
1,16,844,856
1,20,845,845
5,17,845,855
16,11,848,856
5,11,848,856
11,16,850,856
11,17,850,855
0,11,850,856
11,10,851,856
11,11,851,856
3,10,851,856
7,17,852,856
18,17,852,856
